capacity_log2,table_type,load_factor,repetition,phase,num_ops,time_seconds,avg_probes,max_probes
18,robinhood,0.500000,14,lookup_success,131072,0.001444,1.502235,9
18,robinhood,0.500000,14,lookup_fail,131072,0.001871,1.754158,10
18,linear,0.500000,15,insert,131072,0.001328,1.498833,34
18,linear,0.500000,15,lookup_success,131072,0.000934,1.498833,34
18,linear,0.500000,15,lookup_fail,131072,0.002116,2.505096,44
18,robinhood,0.500000,15,insert,131072,0.001389,1.498833,34
18,robinhood,0.500000,15,lookup_success,131072,0.001124,1.498833,12
18,robinhood,0.500000,15,lookup_fail,131072,0.001838,1.751701,12
18,linear,0.500000,16,insert,131072,0.001318,1.502708,31
18,linear,0.500000,16,lookup_success,131072,0.000954,1.502708,31
18,linear,0.500000,16,lookup_fail,131072,0.002045,2.518135,38
18,robinhood,0.500000,16,insert,131072,0.001311,1.502708,31
18,robinhood,0.500000,16,lookup_success,131072,0.001160,1.502708,9
18,robinhood,0.500000,16,lookup_fail,131072,0.001715,1.753265,10
18,linear,0.500000,17,insert,131072,0.001364,1.501015,26
18,linear,0.500000,17,lookup_success,131072,0.000911,1.501015,26
18,linear,0.500000,17,lookup_fail,131072,0.002053,2.512299,33
18,robinhood,0.500000,17,insert,131072,0.001453,1.501015,26
18,robinhood,0.500000,17,lookup_success,131072,0.001072,1.501015,9
18,robinhood,0.500000,17,lookup_fail,131072,0.001657,1.753304,10
18,linear,0.500000,18,insert,131072,0.001201,1.509750,31
18,linear,0.500000,18,lookup_success,131072,0.000911,1.509750,31
18,linear,0.500000,18,lookup_fail,131072,0.002052,2.526245,39
18,robinhood,0.500000,18,insert,131072,0.001254,1.509750,31
18,robinhood,0.500000,18,lookup_success,131072,0.001100,1.509750,10
18,robinhood,0.500000,18,lookup_fail,131072,0.002331,1.757263,11
18,linear,0.500000,19,insert,131072,0.001268,1.485878,23
18,linear,0.500000,19,lookup_success,131072,0.000964,1.485878,23
18,linear,0.500000,19,lookup_fail,131072,0.001901,2.491371,33
18,robinhood,0.500000,19,insert,131072,0.001520,1.485878,23
18,robinhood,0.500000,19,lookup_success,131072,0.001093,1.485878,8
18,robinhood,0.500000,19,lookup_fail,131072,0.001594,1.744934,9
18,linear,0.500000,20,insert,131072,0.001279,1.501930,40
18,linear,0.500000,20,lookup_success,131072,0.000871,1.501930,40
18,linear,0.500000,20,lookup_fail,131072,0.001955,2.515594,43
18,robinhood,0.500000,20,insert,131072,0.001339,1.501930,40
18,robinhood,0.500000,20,lookup_success,131072,0.001021,1.501930,10
18,robinhood,0.500000,20,lookup_fail,131072,0.001597,1.756706,11
18,linear,0.500000,21,insert,131072,0.001207,1.501343,31
18,linear,0.500000,21,lookup_success,131072,0.000859,1.501343,31
18,linear,0.500000,21,lookup_fail,131072,0.002027,2.484467,42
18,robinhood,0.500000,21,insert,131072,0.001920,1.501343,31
18,robinhood,0.500000,21,lookup_success,131072,0.001313,1.501343,10
18,robinhood,0.500000,21,lookup_fail,131072,0.001691,1.746071,11
18,linear,0.500000,22,insert,131072,0.001182,1.504410,26
18,linear,0.500000,22,lookup_success,131072,0.000860,1.504410,26
18,linear,0.500000,22,lookup_fail,131072,0.001855,2.502869,35
18,robinhood,0.500000,22,insert,131072,0.001520,1.504410,26
18,robinhood,0.500000,22,lookup_success,131072,0.001330,1.504410,10
18,robinhood,0.500000,22,lookup_fail,131072,0.001707,1.752083,10
18,linear,0.500000,23,insert,131072,0.001255,1.495598,40
18,linear,0.500000,23,lookup_success,131072,0.000870,1.495598,40
18,linear,0.500000,23,lookup_fail,131072,0.002136,2.490997,54
18,robinhood,0.500000,23,insert,131072,0.001213,1.495598,40
18,robinhood,0.500000,23,lookup_success,131072,0.001121,1.495598,9
18,robinhood,0.500000,23,lookup_fail,131072,0.001694,1.746071,10
18,linear,0.500000,24,insert,131072,0.001498,1.498001,28
18,linear,0.500000,24,lookup_success,131072,0.001005,1.498001,28
18,linear,0.500000,24,lookup_fail,131072,0.002356,2.482956,34
18,robinhood,0.500000,24,insert,131072,0.001512,1.498001,28
18,robinhood,0.500000,24,lookup_success,131072,0.001202,1.498001,9
18,robinhood,0.500000,24,lookup_fail,131072,0.002140,1.743889,10
18,linear,0.500000,25,insert,131072,0.001148,1.498001,36
18,linear,0.500000,25,lookup_success,131072,0.000958,1.498001,36
18,linear,0.500000,25,lookup_fail,131072,0.002168,2.476311,48
18,robinhood,0.500000,25,insert,131072,0.001382,1.498001,36
18,robinhood,0.500000,25,lookup_success,131072,0.001381,1.498001,14
18,robinhood,0.500000,25,lookup_fail,131072,0.001804,1.745636,15
18,linear,0.500000,26,insert,131072,0.001393,1.502510,27
18,linear,0.500000,26,lookup_success,131072,0.001014,1.502510,27
18,linear,0.500000,26,lookup_fail,131072,0.002125,2.499725,37
18,robinhood,0.500000,26,insert,131072,0.001230,1.502510,27
18,robinhood,0.500000,26,lookup_success,131072,0.001154,1.502510,9
18,robinhood,0.500000,26,lookup_fail,131072,0.001754,1.750862,10
18,linear,0.500000,27,insert,131072,0.001341,1.503906,38
18,linear,0.500000,27,lookup_success,131072,0.000905,1.503906,38
18,linear,0.500000,27,lookup_fail,131072,0.002259,2.505684,38
18,robinhood,0.500000,27,insert,131072,0.001499,1.503906,38
18,robinhood,0.500000,27,lookup_success,131072,0.001174,1.503906,9
18,robinhood,0.500000,27,lookup_fail,131072,0.001555,1.752861,10
18,linear,0.500000,28,insert,131072,0.001264,1.493111,31
