probes,count
0,500553
1,131977
2,64681
3,39352
4,27358
5,20398
6,15897
7,12726
8,10770
9,8882
10,7702
11,6726
12,5983
13,5292
14,4709
15,4262
16,3956
17,3565
18,3285
19,3046
20,108880
