probes,count
0,49164
1,52519
2,50735
3,48082
4,45756
5,43246
6,40901
7,38078
8,35783
9,33389
10,31610
11,29457
12,27742
13,25813
14,24760
15,23152
16,21310
17,19792
18,18412
19,16812
20,293487
