probes,count
0,455465
1,107260
2,47068
3,25695
4,16405
5,10893
6,7737
7,5718
8,4481
9,3384
10,2584
11,2079
12,1769
13,1424
14,1120
15,960
16,747
17,686
18,572
19,510
20,3443
